,rent,location,bedroom,bathroom,toilet,parking
10249,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
10250,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
10251,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10252,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10255,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
10256,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
10257,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
10258,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
10259,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
10260,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
10261,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
10262,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
10263,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
10264,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
10265,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
10266,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
10267,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
10268,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
10269,8500000, Ladipo Bateye Street Ikeja GRA Ikeja Lagos,5.0,5.0,6.0,4.0
10270,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
10271,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
10272,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10273,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10276,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
10277,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
10278,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
10279,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
10280,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
10281,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
